Start Date,MSCI World $,S&P 500,Global Bond Aggregate,Gold $,Fed fund rate
1990-02-28 00:00:00,-0.04454198614660898,0.008538957092500299,-0.005192806903199676,-0.017708709794000743,0.0012150668286754485
1990-03-30 00:00:00,-0.06216441489464808,0.02425502425502435,-0.005297350611452201,-0.09614912926171204,0.004854368932038833
1990-04-30 00:00:00,-0.01632838659005409,-0.026887097723127584,-0.005220054597509849,-0.002035278154681186,-0.0024154589371979673
1990-05-31 00:00:00,0.10333669524289801,0.09198911729141468,0.031729752383541365,-0.012780421481984994,-0.009685230024213065
1990-06-29 00:00:00,-0.008931632070081963,-0.008886305124159222,0.01850685611001701,-0.029885690676215493,0.01344743276283622
1990-07-31 00:00:00,0.0072442881574144025,-0.005223171889838563,0.026283297533748362,0.05706984667802395,-0.016887816646562026
1990-08-31 00:00:00,-0.09548246785455372,-0.09431419345781267,-0.01006857516055304,0.0414987912973408,-0.0024539877300613355
1990-09-28 00:00:00,-0.10754434437812421,-0.05118427579365081,0.009294223518552247,0.05325596389426179,0.008610086100860892
1990-10-31 00:00:00,0.09098643474972823,-0.006698251919621034,0.03168168469499033,-0.07076395690499504,-0.01097560975609757
1990-11-30 00:00:00,-0.018607573000606448,0.05993421052631587,0.01830744163599829,0.014097496706192425,-0.036991368680641123
1990-12-31 00:00:00,0.018717580840966752,0.02482775743280996,0.011698997111863951,-0.005326750682083992,-0.06402048655569781
1991-01-31 00:00:00,0.03436396333932801,0.04151777602810247,0.021571032183465677,-0.043887147335423204,-0.05471956224350194
1991-02-28 00:00:00,0.09045015605689288,0.06728113278864889,0.0048223120165256095,-0.00901639344262295,-0.09551374819102754
1991-03-29 00:00:00,-0.031331040974316715,0.022202849592720897,-0.0215949462885493,-0.01943755169561623,-0.02079999999999993
1991-04-30 00:00:00,0.005909649783841786,0.0003464634081338236,0.011420749470457459,0.005904681568958292,-0.03431372549019607
1991-05-31 00:00:00,0.02073968929895109,0.03857732782736112,0.003170587709414141,0.007407407407407307,-0.021996615905245376
1991-06-28 00:00:00,-0.06356226823238564,-0.047892671164353584,-0.008276414600724813,0.02205882352941191,0.02076124567474058
1991-07-31 00:00:00,0.04523048365473836,0.04485935984481082,0.018936600113349078,-0.014931451065562595,-0.013559322033898313
1991-08-30 00:00:00,-0.005090966494336713,0.01964879709135925,0.02045675816091741,-0.0425795783381564,-0.027491408934707917
1991-09-30 00:00:00,0.024256247520825003,-0.01914371696634043,0.032866336434571375,0.021588946459412783,-0.03710247349823326
1991-10-31 00:00:00,0.014309780609182532,0.011859949466302089,0.01191384519540084,0.007185122569737912,-0.044036697247706424
1991-11-29 00:00:00,-0.045492726509106296,-0.043928043622279866,0.012280345552549976,0.02475870751154008,-0.07677543186180424
1991-12-31 00:00:00,0.07074141482829654,0.11158786845050894,0.043754609919900656,-0.035899535899535984,-0.079002079002079
1992-01-31 00:00:00,-0.020378810520023882,-0.01989978182166907,-0.01543432527613875,0.002690075038935369,-0.09029345372460484
1992-02-28 00:00:00,-0.019162932596053173,0.009564813229286262,-4.249806791190025e-05,-0.0009884213499011807,0.007444168734491052
1992-03-31 00:00:00,-0.04902799377916012,-0.021831839108311102,-0.00856215055659093,-0.03406360424028276,-0.01970443349753681
1992-04-30 00:00:00,0.011877018684328888,0.027892689935346437,0.006506243882535179,-0.01565700907228551,-0.06281407035175879
1992-05-29 00:00:00,0.03773813612396193,0.0009639715628388945,0.028304870459946452,0.0034190575293593373,0.024128686327077764
1992-06-30 00:00:00,-0.03552864679658141,-0.017358853978572397,0.02276811497495368,0.01748148148148143,-0.015706806282722474
1992-07-31 00:00:00,0.0004440676597634585,0.03937374430342522,0.020586704582439053,0.04207920792079212,-0.13563829787234039
1992-08-31 00:00:00,0.022193527560326,-0.0239975483840551,0.021231742318143176,-0.04429230124353789,0.01538461538461533
1992-09-30 00:00:00,-0.011230854255487088,0.009105620365674083,0.003498991602564061,0.023391812865497075,-0.024242424242424176
1992-10-30 00:00:00,-0.0290847389959078,0.002106270943034838,-0.022420720847326936,-0.02571428571428569,-0.037267080745341685
1992-11-30 00:00:00,0.015892923228751243,0.03026177510270367,-0.00947248907528253,-0.014662756598240456,-0.003225806451612967
1992-12-31 00:00:00,0.006111999352370834,0.010107801089602297,0.011052886064270462,-0.004464285714285698,-0.055016181229773475
1993-01-29 00:00:00,0.0014080823929354391,0.007045970943976521,0.017163041201551987,-0.005979073243647215,0.03424657534246589
1993-02-26 00:00:00,0.021774501335797503,0.010483613656046442,0.01579126613093096,-0.009022556390977488,0.0033112582781456013
1993-03-31 00:00:00,0.05608744372579477,0.018697279985565585,0.010849155905049868,0.028831562974203306,0.013201320132013139
1993-04-30 00:00:00,0.04452717795979133,-0.025416786591980878,0.014336231432844793,0.05014749262536866,-0.03583061889250816
1993-05-31 00:00:00,0.0212966923296265,0.02271746291374188,0.006805838988159341,0.05266853932584259,0.013513513513513598
1993-06-30 00:00:00,-0.010086027884900761,0.0007552366778471598,0.005161367401882888,0.008939292861908088,0.01333333333333342
1993-07-30 00:00:00,0.018914488180648448,-0.005327059241337917,0.00033062051459298303,0.07722824649563598,0.006578947368421018
1993-08-31 00:00:00,0.044185322307186636,0.03443197286501687,0.025505361247420533,-0.08642278418855875,-0.009803921568627527
1993-09-30 00:00:00,-0.020080853601961546,-0.009987919578910986,0.008651917631986139,-0.04488040849234087,0.01980198019801982
1993-10-29 00:00:00,0.02591978898958458,0.019392935741834316,0.0009447159613424905,0.039673607203151384,-0.032362459546925404
